p_noise,trace_witness,label,round,hamiltonian
0.38147974014282227,-6.006165474414793e-07,1,8,H5
0.0,-2.12366681748114,1,12,H5
0.5,0.5760714023906282,-1,12,H5
0.25,-0.7737977075452562,1,12,H5
0.375,-0.09886315257731429,1,12,H5
0.4375,0.23860412490665717,-1,12,H5
0.40625,0.06987048616467134,-1,12,H5
0.390625,-0.014496333206321113,1,12,H5
0.3984375,0.027687076479174816,-1,12,H5
0.39453125,0.006595371636426817,-1,12,H5
0.392578125,-0.00395048078494728,1,12,H5
0.3935546875,0.0013224454257395185,-1,12,H5
0.39306640625,-0.0013140176796037906,1,12,H5
0.393310546875,4.213873068037444e-06,-1,12,H5
0.3931884765625,-0.0006549019032678904,1,12,H5
0.39324951171875,-0.00032534401509971833,1,12,H5
0.393280029296875,-0.00016056507101593065,1,12,H5
0.3932952880859375,-7.817559897378701e-05,1,12,H5
0.39330291748046875,-3.6980862952867843e-05,1,12,H5
0.3933067321777344,-1.6383494942553978e-05,1,12,H5
0.3933086395263672,-6.084810937154184e-06,1,12,H5
0.3933095932006836,-9.354689347595979e-07,1,12,H5
0.3933100700378418,1.6392020668609675e-06,-1,12,H5
0.0,-2.307669128786068,1,16,H5
0.5,0.37657471175183255,-1,16,H5
0.25,-0.9655472085171171,1,16,H5
0.375,-0.2944862483826425,1,16,H5
0.4375,0.04104423168459492,-1,16,H5
0.40625,-0.12672100834902342,1,16,H5
0.421875,-0.04283838833221412,1,16,H5
0.4296875,-0.0008970783238093916,1,16,H5
0.43359375,0.020073576680392724,-1,16,H5
0.431640625,0.009588249178291597,-1,16,H5
0.4306640625,0.004345585427240839,-1,16,H5
0.43017578125,0.0017242535517156543,-1,16,H5
0.429931640625,0.0004135876139529926,-1,16,H5
0.4298095703125,-0.00024174535492840765,1,16,H5
0.42987060546875,8.59211295123341e-05,-1,16,H5
0.429840087890625,-7.79121127080229e-05,1,16,H5
0.4298553466796875,4.004508402155604e-06,-1,16,H5
0.42984771728515625,-3.69538021529614e-05,1,16,H5
0.4298515319824219,-1.6474646875291876e-05,1,16,H5
0.4298534393310547,-6.235069236609769e-06,1,16,H5
0.4298543930053711,-1.11528041699116e-06,1,16,H5
0.4298548698425293,1.4446139925405888e-06,-1,16,H5
0.0,-2.2164959228460006,1,20,H5
0.5,0.44140162890224394,-1,20,H5
0.25,-0.8875471469718783,1,20,H5
0.375,-0.22307275903481721,1,20,H5
0.4375,0.10916443493371329,-1,20,H5
0.40625,-0.05695416205055179,1,20,H5
0.421875,0.026105136441580704,-1,20,H5
0.4140625,-0.015424512804485535,1,20,H5
0.41796875,0.005340311818547799,-1,20,H5
0.416015625,-0.005042100492968812,1,20,H5
0.4169921875,0.00014910566278943105,-1,20,H5
0.41650390625,-0.00244649741508976,1,20,H5
0.416748046875,-0.0011486958761501853,1,20,H5
0.4168701171875,-0.0004997951066804118,1,20,H5
0.41693115234375,-0.0001753447219457055,1,20,H5
0.416961669921875,-1.3119529578067834e-05,1,20,H5
0.4169769287109375,6.799306660573712e-05,-1,20,H5
0.41696929931640625,2.7436768513827703e-05,-1,20,H5
0.4169654846191406,7.158619467734217e-06,-1,20,H5
0.4169635772705078,-2.980455055007214e-06,1,20,H5
0.4169645309448242,2.0890822063635017e-06,-1,20,H5
0.416964054107666,-4.456864244467562e-07,1,20,H5
0.0,-2.4132300088586494,1,24,H5
0.5,0.24130513387261865,-1,24,H5
0.25,-1.0859624374930155,1,24,H5
0.375,-0.4223286518101982,1,24,H5
0.4375,-0.09051175896878982,1,24,H5
0.46875,0.07539668745191452,-1,24,H5
0.453125,-0.007557535758437525,1,24,H5
0.4609375,0.03391957584673835,-1,24,H5
0.45703125,0.01318102004415038,-1,24,H5
0.455078125,0.0028117421428564826,-1,24,H5
0.4541015625,-0.00237289680779057,1,24,H5
0.45458984375,0.00021942266753291473,-1,24,H5
0.454345703125,-0.0010767370701288692,1,24,H5
0.4544677734375,-0.00042865720129779683,1,24,H5
0.45452880859375,-0.00010461726688239248,1,24,H5
0.454559326171875,5.7402700325198674e-05,-1,24,H5
0.4545440673828125,-2.3607283278659352e-05,1,24,H5
0.45455169677734375,1.6897708523297417e-05,-1,24,H5
0.4545478820800781,-3.354787377660151e-06,1,24,H5
0.45454978942871094,6.771460572874144e-06,-1,24,H5
0.45454883575439453,1.7083365974890352e-06,-1,24,H5
0.45454835891723633,-8.232253901757636e-07,1,24,H5
0.0,-1.9943796006250682,1,28,H5
0.5,0.6463398992729288,-1,28,H5
0.25,-0.6740198506760697,1,28,H5
0.375,-0.01383997570157064,1,28,H5
0.4375,0.31624996178567905,-1,28,H5
0.40625,0.15120499304205454,-1,28,H5
0.390625,0.06868250867024195,-1,28,H5
0.3828125,0.027421266484335793,-1,28,H5
0.37890625,0.006790645391382633,-1,28,H5
0.376953125,-0.00352466515509392,1,28,H5
0.3779296875,0.0016329901181443285,-1,28,H5
0.37744140625,-0.0009458375184748236,1,28,H5
0.377685546875,0.0003435762998346137,-1,28,H5
0.3775634765625,-0.0003011306093202437,1,28,H5
0.37762451171875,2.1222845257240497e-05,-1,28,H5
0.377593994140625,-0.0001399538820312518,1,28,H5
0.3776092529296875,-5.936551838703341e-05,1,28,H5
0.37761688232421875,-1.9071336564979724e-05,1,28,H5
0.3776206970214844,1.0757543463246755e-06,-1,28,H5
0.37761878967285156,-8.997791109410791e-06,1,28,H5
0.37761974334716797,-3.961018381348769e-06,1,28,H5
0.37762022018432617,-1.4426320175675578e-06,1,28,H5
0.0,-1.874776499359807,1,32,H5
0.5,0.7484693035613872,-1,32,H5
0.25,-0.56315359789921,1,32,H5
0.375,0.09265785283108888,-1,32,H5
0.3125,-0.23524787253406057,1,32,H5
0.34375,-0.071295009851486,1,32,H5
0.359375,0.01068142148980128,-1,32,H5
0.3515625,-0.030306794180842436,1,32,H5
0.35546875,-0.009812686345520585,1,32,H5
0.357421875,0.00043436757214047883,-1,32,H5
0.3564453125,-0.004689159386690164,1,32,H5
0.35693359375,-0.002127395907274815,1,32,H5
0.357177734375,-0.0008465141675672305,1,32,H5
0.3572998046875,-0.00020607329771334115,1,32,H5
0.35736083984375,0.00011414713721341618,-1,32,H5
0.357330322265625,-4.596308025001106e-05,1,32,H5
0.3573455810546875,3.40920284818691e-05,-1,32,H5
0.35733795166015625,-5.935525884126491e-06,1,32,H5
0.3573417663574219,1.407825129882967e-05,-1,32,H5
0.35733985900878906,4.071362707455672e-06,-1,32,H5
0.35733890533447266,-9.320815885505151e-07,1,32,H5
0.35733938217163086,1.5696405595150287e-06,-1,32,H5
0.0,-2.1687606702942084,1,36,H5
0.5,0.4354226414855886,-1,36,H5
0.25,-0.8666690144043097,1,36,H5
0.375,-0.21562318645936046,1,36,H5
0.4375,0.10989972751311419,-1,36,H5
0.40625,-0.05286172947312351,1,36,H5
0.421875,0.028518999019995384,-1,36,H5
0.4140625,-0.012171365226563868,1,36,H5
0.41796875,0.008173816896715702,-1,36,H5
0.416015625,-0.0019987741649241664,1,36,H5
0.4169921875,0.0030875213658960177,-1,36,H5
0.41650390625,0.0005443736004860367,-1,36,H5
0.416259765625,-0.0007272002822189538,1,36,H5
0.4163818359375,-9.141334086659736e-05,1,36,H5
0.41644287109375,0.00022648012980958088,-1,36,H5
0.416412353515625,6.753339447168605e-05,-1,36,H5
0.4163970947265625,-1.1939973197594433e-05,1,36,H5
0.41640472412109375,2.779671063696254e-05,-1,36,H5
0.4164009094238281,7.928368719933854e-06,-1,36,H5
0.4163990020751953,-2.0058022389135566e-06,1,36,H5
0.4163999557495117,2.961283240621171e-06,-1,36,H5
0.4163994789123535,4.777405009370739e-07,-1,36,H5
0.0,-2.6892846593734743,1,40,H5
0.5,-0.0898820379052779,1,40,H5
0.75,1.20981927282882,-1,40,H5
0.625,0.5599686174617711,-1,40,H5
0.5625,0.2350432897782464,-1,40,H5
0.53125,0.07258062593648436,-1,40,H5
0.515625,-0.008650705984396864,1,40,H5
0.5234375,0.0319649599760437,-1,40,H5
0.51953125,0.011657126995823504,-1,40,H5
0.517578125,0.0015032105057132678,-1,40,H5
0.5166015625,-0.0035737477393416595,1,40,H5
0.51708984375,-0.0010352686168142305,1,40,H5
0.517333984375,0.00023397094444963656,-1,40,H5
0.5172119140625,-0.0004006488361822935,1,40,H5
0.51727294921875,-8.333894586640828e-05,1,40,H5
0.517303466796875,7.531599929157251e-05,-1,40,H5
0.5172882080078125,-4.011473287546252e-06,1,40,H5
0.5172958374023438,3.56522630020617e-05,-1,40,H5
0.5172920227050781,1.5820394857452014e-05,-1,40,H5
0.5172901153564453,5.904460784827981e-06,-1,40,H5
0.5172891616821289,9.464937487518865e-07,-1,40,H5
0.5172886848449707,-1.5324897694110606e-06,1,40,H5
0.0,-2.7639368589750433,1,44,H5
0.5,-0.18048111081665916,1,44,H5
0.75,1.111246763262533,-1,44,H5
0.625,0.46538282622293686,-1,44,H5
0.5625,0.1424508577031388,-1,44,H5
0.53125,-0.019015126556760263,1,44,H5
0.546875,0.06171786557318934,-1,44,H5
0.5390625,0.021351369508214577,-1,44,H5
0.53515625,0.0011681214757272296,-1,44,H5
0.533203125,-0.008923502540516562,1,44,H5
0.5341796875,-0.0038776905323948258,1,44,H5
0.53466796875,-0.001354784528333916,1,44,H5
0.534912109375,-9.333152630328079e-05,1,44,H5
0.5350341796875,0.0005373949747118495,-1,44,H5
0.53497314453125,0.00022203172420421496,-1,44,H5
0.534942626953125,6.435009895050525e-05,-1,44,H5
0.5349273681640625,-1.4490713676547362e-05,1,44,H5
0.5349349975585938,2.4929692637044865e-05,-1,44,H5
0.5349311828613281,5.21948948025569e-06,-1,44,H5
0.5349292755126953,-4.635612098034814e-06,1,44,H5
