p_noise,trace_witness,label,round
0.0,-2.7331667144184895,1,20
0.5,3.210080418974736,-1,20
0.25,2.432734052788991,-1,20
0.125,0.7944390524558949,-1,20
0.0625,-0.6646577508521657,1,20
0.09375,0.1314288711372918,-1,20
0.078125,-0.2488478459701463,1,20
0.0859375,-0.05441370805078938,1,20
0.08984375,0.03956368115270456,-1,20
0.087890625,-0.007158775021584574,1,20
0.0888671875,0.016268734916801558,-1,20
0.08837890625,0.004571585063136346,-1,20
0.088134765625,-0.001289439362919198,1,20
0.0882568359375,0.0016421112117461223,-1,20
0.08819580078125,0.00017659558261129416,-1,20
0.088165283203125,-0.0005563569671297453,1,20
0.0881805419921875,-0.00018986446256236134,1,20
0.08818817138671875,-6.630382683697755e-06,1,20
0.08819198608398438,8.498361427014545e-05,-1,20
0.08819007873535156,3.917686937188192e-05,-1,20
0.08818912506103516,1.6273306738839866e-05,-1,20
0.08818864822387695,4.821477876087998e-06,-1,20
0.0,-2.1353911380626314,1,24
0.5,3.8083144955582537,-1,24
0.25,3.4173235790318675,-1,24
0.125,1.826537765828419,-1,24
0.0625,0.24353388599314202,-1,24
0.03125,-0.8309781391549419,1,24
0.046875,-0.2670527987997783,1,24
0.0546875,-0.00533840920184224,1,24
0.05859375,0.1206729608847353,-1,24
0.056640625,0.05806480343809918,-1,24
0.0556640625,0.026463047134890907,-1,24
0.05517578125,0.010587340165434292,-1,24
0.054931640625,0.0026307281296331086,-1,24
0.0548095703125,-0.001352273954925945,1,24
0.05487060546875,0.0006396186177140967,-1,24
0.054840087890625,-0.0003562297716512425,1,24
0.0548553466796875,0.00014171889547474892,-1,24
0.05484771728515625,-0.00010724931975251983,1,24
0.054851531982421875,1.7236317416693958e-05,-1,24
0.05484962463378906,-4.5006118775309245e-05,1,24
0.05485057830810547,-1.3884805081770812e-05,1,24
0.05485105514526367,1.675780066767718e-06,-1,24
0.0,-0.39190027578220493,1,28
0.5,5.45533139148802,-1,28
0.25,4.498954036883429,-1,28
0.125,3.2178493110195285,-1,28
0.0625,1.8547767267048747,-1,28
0.03125,0.8661448998020798,-1,28
0.015625,0.27420854810060263,-1,28
0.0078125,-0.04912329132924185,1,28
0.01171875,0.11491576328954209,-1,28
0.009765625,0.03349663688865592,-1,28
0.0087890625,-0.007662331124970341,1,28
0.00927734375,0.012954789643732471,-1,28
0.009033203125,0.002655652465176149,-1,28
0.0089111328125,-0.002500981775009417,1,28
0.00897216796875,7.792451455760491e-05,-1,28
0.008941650390625,-0.0012113813104552631,1,28
0.0089569091796875,-0.0005666915714319792,1,28
0.00896453857421875,-0.0002443743222362779,1,28
0.008968353271484375,-8.322260234260026e-05,1,28
0.008970260620117188,-2.648468525053016e-06,1,28
0.008971214294433594,3.7638166857208166e-05,-1,28
0.00897073745727539,1.7494885126437265e-05,-1,28
0.0,-2.1695516465647864,1,32
0.5,3.713078707012547,-1,32
0.25,3.198792388051622,-1,32
0.125,1.7899534578936138,-1,32
0.0625,0.26966823426749453,-1,32
0.03125,-0.8128593234867132,1,32
0.046875,-0.24032956788079607,1,32
0.0546875,0.022130798484366228,-1,32
0.05078125,-0.10719053689410109,1,32
0.052734375,-0.04205814797516741,1,32
0.0537109375,-0.009846425899596403,1,32
0.05419921875,0.006171413625046085,-1,32
0.053955078125,-0.0018301887078092799,1,32
0.0540771484375,0.002172440490600988,-1,32
0.05401611328125,0.00017158306501172116,-1,32
0.053985595703125,-0.000829188507287866,1,32
0.0540008544921875,-0.00032877414519891235,1,32
0.05400848388671875,-7.85883964325787e-05,1,32
0.054012298583984375,4.6499120164328334e-05,-1,32
0.05401039123535156,-1.6044191660243012e-05,1,32
0.05401134490966797,1.522757586983059e-05,-1,32
0.054010868072509766,-4.082799903645795e-07,1,32
0.0,-2.595429256157316,1,36
0.5,3.279241514127409,-1,36
0.25,2.6412775055732194,-1,36
0.125,1.1599718221888664,-1,36
0.0625,-0.32025627481283264,1,36
0.09375,0.502659480754408,-1,36
0.078125,0.11380870955739433,-1,36
0.0703125,-0.0973197821468152,1,36
0.07421875,0.009688300599501112,-1,36
0.072265625,-0.04345080125192059,1,36
0.0732421875,-0.016790515477048518,1,36
0.07373046875,-0.0035284860117175687,1,36
0.073974609375,0.003085554878645022,-1,36
0.0738525390625,-0.0002200526994552976,1,36
0.07391357421875,0.0014331041849655335,-1,36
0.073883056640625,0.0006066140317703694,-1,36
0.0738677978515625,0.0001933027403077936,-1,36
0.07386016845703125,-1.3369460798787203e-05,1,36
0.07386398315429688,8.996801941880961e-05,-1,36
0.07386207580566406,3.829962422959021e-05,-1,36
0.07386112213134766,1.2465167945924227e-05,-1,36
0.07386064529418945,-4.521248687383572e-07,1,36
0.0,-2.0540535952930297,1,40
0.5,3.862857802964866,-1,40
0.25,2.213394931138345,-1,40
