p_noise,trace_witness,label,round,hamiltonian
0.0966796875,-0.013724031800010097,1,20,H5
0.09716796875,-0.005003340460466993,1,20,H5
0.097412109375,-0.0006508776902772184,1,20,H5
0.0975341796875,0.001523385364682786,-1,20,H5
0.09747314453125,0.0004364177934855773,-1,20,H5
0.097442626953125,-0.00010718895398403872,1,20,H5
0.0974578857421875,0.00016462466768622785,-1,20,H5
0.09745025634765625,2.872041891832655e-05,-1,20,H5
0.09744644165039062,-3.9233627005932914e-05,1,20,H5
0.09744834899902344,-5.256443913193021e-06,1,20,H5
0.09744930267333984,1.173202753497471e-05,-1,20,H5
0.09744882583618164,3.237801818864461e-06,-1,20,H5
0.0,-2.4132300088586494,1,24,H5
0.5,2.895840276603886,-1,24,H5
0.25,1.579461196227217,-1,24,H5
0.125,0.1521419632301957,-1,24,H5
0.0625,-0.9484737227201319,1,24,H5
0.09375,-0.3582158000359379,1,24,H5
0.109375,-0.09368994959139026,1,24,H5
0.1171875,0.03148594943340924,-1,24,H5
0.11328125,-0.03052755670748325,1,24,H5
0.115234375,0.0006216162000496767,-1,24,H5
0.1142578125,-0.014917216971235644,1,24,H5
0.11474609375,-0.007138880639809636,1,24,H5
0.114990234375,-0.003256404602272306,1,24,H5
0.1151123046875,-0.0013168375863755466,1,24,H5
0.11517333984375,-0.0003474715756752733,1,24,H5
0.115203857421875,0.00013710708703537633,-1,24,H5
0.1151885986328125,-0.00010517355004290019,1,24,H5
0.11519622802734375,1.5968941995181396e-05,-1,24,H5
0.11519241333007812,-4.4601760640125554e-05,1,24,H5
0.11519432067871094,-1.431627347781017e-05,1,24,H5
0.11519527435302734,8.263682195336353e-07,-1,24,H5
0.11519479751586914,-6.744944138534215e-06,1,24,H5
0.0,-1.9943796006250682,1,28,H5
0.5,3.2870593991709254,-1,28,H5
0.25,2.1934423459895003,-1,28,H5
0.125,0.7651470006427146,-1,28,H5
0.0625,-0.4000054830843542,1,28,H5
0.09375,0.22944655444796247,-1,28,H5
0.078125,-0.07276444009520423,1,28,H5
0.0859375,0.08136724198874362,-1,28,H5
0.08203125,0.005070573188981686,-1,28,H5
0.080078125,-0.033653045186367136,1,28,H5
0.0810546875,-0.01424296409415396,1,28,H5
0.08154296875,-0.004574152429959233,1,28,H5
0.081787109375,0.00025121802014457795,-1,28,H5
0.0816650390625,-0.0021607149055573316,1,28,H5
0.08172607421875,-0.0009545604165293875,1,28,H5
0.081756591796875,-0.00035162419772974407,1,28,H5
0.0817718505859375,-5.019133943709453e-05,1,28,H5
0.08177947998046875,0.00010051627759749548,-1,28,H5
0.08177566528320312,2.516320340301137e-05,-1,28,H5
0.08177375793457031,-1.2513884434822709e-05,1,28,H5
0.08177471160888672,6.324705379645579e-06,-1,28,H5
0.08177423477172852,-3.09457805353075e-06,1,28,H5
0.0,-1.874776499359807,1,32,H5
0.5,3.3717151064825828,-1,32,H5
0.25,2.3584485303094964,-1,32,H5
0.125,0.9345989674308055,-1,32,H5
0.0625,-0.24670501889104637,1,32,H5
0.09375,0.39273637603810596,-1,32,H5
0.078125,0.08604192624058013,-1,32,H5
0.0703125,-0.07696687272520042,1,32,H5
0.07421875,0.0053649753983615045,-1,32,H5
0.072265625,-0.035592384526050014,1,32,H5
0.0732421875,-0.015061777084625555,1,32,H5
0.07373046875,-0.004835445596874516,1,32,H5
0.073974609375,0.00026800038878474486,-1,32,H5
0.0738525390625,-0.002282913316791396,1,32,H5
0.07391357421875,-0.0010072541941075208,1,32,H5
0.073944091796875,-0.0003695763416759479,1,32,H5
0.0739593505859375,-5.077533701075554e-05,1,32,H5
0.07396697998046875,0.00010861568564457524,-1,32,H5
0.07396316528320312,2.892096426920787e-05,-1,32,H5
0.07396125793457031,-1.09269888812491e-05,1,32,H5
0.07396221160888672,8.997037066249547e-06,-1,32,H5
0.07396173477172852,-9.64963564414889e-07,1,32,H5
0.0,-2.1687606702942084,1,36,H5
0.5,3.039605953265387,-1,36,H5
0.25,1.9620850384666875,-1,36,H5
0.125,0.5701594771208183,-1,36,H5
0.0625,-0.5786662343908455,1,36,H5
0.09375,0.04348502145353614,-1,36,H5
0.078125,-0.2547888065111268,1,36,H5
0.0859375,-0.10256346141326664,1,36,H5
0.08984375,-0.028780792490043394,1,36,H5
0.091796875,0.007540031165267969,-1,36,H5
0.0908203125,-0.01057319109846691,1,36,H5
0.09130859375,-0.001504808929641166,1,36,H5
0.091552734375,0.0030205505876082506,-1,36,H5
0.0914306640625,0.0007586061073990014,-1,36,H5
0.09136962890625,-0.0003729175401284146,1,36,H5
0.091400146484375,0.00019289024495863782,-1,36,H5
0.0913848876953125,-9.000215645046938e-05,1,36,H5
0.09139251708984375,5.144691693725889e-05,-1,36,H5
0.09138870239257812,-1.9276901573245242e-05,1,36,H5
0.09139060974121094,1.6085187225706177e-05,-1,36,H5
0.09138965606689453,-1.5958122873971359e-06,1,36,H5
0.09139013290405273,7.244698690761497e-06,-1,36,H5
0.0,-2.6892846593734743,1,40,H5
0.5,2.50952058356292,-1,40,H5
0.25,1.6215431063694108,-1,40,H5
0.125,0.2106267416284366,-1,40,H5
0.0625,-0.9975755051716368,1,40,H5
0.09375,-0.34089240437644264,1,40,H5
0.109375,-0.052884752301562615,1,40,H5
0.1171875,0.08182583321858655,-1,40,H5
0.11328125,0.015222430411629656,-1,40,H5
0.111328125,-0.018641522072569416,1,40,H5
0.1123046875,-0.001662345257223946,1,40,H5
0.11279296875,0.006791816651673943,-1,40,H5
0.112548828125,0.0025676824711375057,-1,40,H5
0.1124267578125,0.000453405707636384,-1,40,H5
0.11236572265625,-0.0006042854487054994,1,40,H5
0.112396240234375,-7.539379537832569e-05,1,40,H5
0.1124114990234375,0.00018901747412253256,-1,40,H5
0.11240386962890625,5.681471896989976e-05,-1,40,H5
0.11240005493164062,-9.288818292457757e-06,1,40,H5
0.11240196228027344,2.3763130315324066e-05,-1,40,H5
0.11240100860595703,7.237201006010663e-06,-1,40,H5
0.11240053176879883,-1.0257973943328391e-06,1,40,H5
0.0,-2.7639368589750433,1,44,H5
0.5,2.4029746373417264,-1,44,H5
0.25,1.5747233257865751,-1,44,H5
0.125,0.155681260224882,-1,44,H5
0.0625,-1.0632314337284974,1,44,H5
0.09375,-0.40102589300850844,1,44,H5
0.109375,-0.11034350333947351,1,44,H5
0.1171875,0.025648249873221337,-1,44,H5
0.11328125,-0.04159012474793677,1,44,H5
0.115234375,-0.007783156375455957,1,44,H5
0.1162109375,0.008979293768684816,-1,44,H5
0.11572265625,0.0006097801851697449,-1,44,H5
0.115478515625,-0.0035837571271868235,1,44,H5
0.1156005859375,-0.0014862561161806433,1,44,H5
0.11566162109375,-0.0004380549251777263,1,44,H5
0.115692138671875,8.590838403163548e-05,-1,44,H5
0.1156768798828125,-0.00017606183130823225,1,44,H5
0.11568450927734375,-4.50738639166115e-05,1,44,H5
0.11568832397460938,2.041797497612588e-05,-1,44,H5
0.11568641662597656,-1.2327765738930074e-05,1,44,H5
0.11568737030029297,4.045149301336315e-06,-1,44,H5
0.11568689346313477,-4.14129704827404e-06,1,44,H5
0.0,-2.5353352044065143,1,48,H5
0.5,2.6345810136886625,-1,48,H5
0.25,1.6045471835419796,-1,48,H5
0.125,0.23302599616654196,-1,48,H5
0.0625,-0.9198192037968727,1,48,H5
0.09375,-0.29366763815655034,1,48,H5
0.109375,-0.01880666657799726,1,48,H5
0.1171875,0.10987905155311345,-1,48,H5
0.11328125,0.0462419391376753,-1,48,H5
0.111328125,0.013895769095867108,-1,48,H5
0.1103515625,-0.0024107021853986693,1,48,H5
0.11083984375,0.005753693365513068,-1,48,H5
0.110595703125,0.001674288904971566,-1,48,H5
0.1104736328125,-0.0003675078939902876,1,48,H5
0.11053466796875,0.0006535651398446862,-1,48,H5
0.110504150390625,0.00014307228804001648,-1,48,H5
0.1104888916015625,-0.0001122068858812747,1,48,H5
0.11049652099609375,1.5435430250884674e-05,-1,48,H5
0.11049270629882812,-4.8385045509774516e-05,1,48,H5
0.11049461364746094,-1.6474637054536556e-05,1,48,H5
0.11049556732177734,-5.195607585412043e-07,1,48,H5
0.11049604415893555,7.4579454068524065e-06,-1,48,H5
0.0,-1.4535469110577535,1,52,H5
0.5,3.7416556075428216,-1,52,H5
0.25,2.762868199863682,-1,52,H5
0.125,1.4250039761292714,-1,52,H5
0.0625,0.24953312053377247,-1,52,H5
0.03125,-0.5250804099477483,1,52,H5
0.046875,-0.12001573947690264,1,52,H5
0.0546875,0.06902314002211096,-1,52,H5
0.05078125,-0.024408710129819294,1,52,H5
0.052734375,0.02257640286101989,-1,52,H5
0.0517578125,-0.0008485195295528658,1,52,H5
0.05224609375,0.010880807953947719,-1,52,H5
0.052001953125,0.005020366057916559,-1,52,H5
0.0518798828125,0.0020869793853520446,-1,52,H5
0.05181884765625,0.0006194940406927807,-1,52,H5
0.051788330078125,-0.00011444670591703732,1,52,H5
0.0518035888671875,0.0002525401757268453,-1,52,H5
0.05179595947265625,6.905086215042155e-05,-1,52,H5
